date,index,Kolkata Knight Riders,Royal Challengers Bangalore,Delhi Daredevils,Chennai Super Kings,Kings XI Punjab,Rajasthan Royals,Mumbai Indians,Deccan Chargers,Kochi Tuskers Kerala,Pune Warriors,Sunrisers Hyderabad,Rising Pune Supergiants,Gujarat Lions
18-Apr-08,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-Apr-08,2,1,6,2,3,4,5,NA,NA,NA,NA,NA,NA,NA
20-Apr-08,3,1,4,2,3,7,8,5,6,NA,NA,NA,NA,NA
21-Apr-08,4,1,5,2,3,8,4,6,7,NA,NA,NA,NA,NA
22-Apr-08,5,1,5,2,3,7,4,6,8,NA,NA,NA,NA,NA
23-Apr-08,6,1,5,2,3,7,4,6,8,NA,NA,NA,NA,NA
24-Apr-08,7,1,5,2,3,8,4,6,7,NA,NA,NA,NA,NA
25-Apr-08,8,1,6,2,3,5,4,7,8,NA,NA,NA,NA,NA
26-Apr-08,9,4,6,3,1,5,2,7,8,NA,NA,NA,NA,NA
27-Apr-08,10,3,7,4,1,5,2,8,6,NA,NA,NA,NA,NA
28-Apr-08,11,3,7,4,1,5,2,8,6,NA,NA,NA,NA,NA
29-Apr-08,12,4,8,3,1,5,2,7,6,NA,NA,NA,NA,NA
30-Apr-08,13,4,8,2,1,5,3,7,6,NA,NA,NA,NA,NA
1-May-08,14,5,8,3,1,4,2,7,6,NA,NA,NA,NA,NA
2-May-08,15,5,8,1,2,4,3,7,6,NA,NA,NA,NA,NA
3-May-08,16,5,6,1,2,4,3,8,7,NA,NA,NA,NA,NA
4-May-08,17,5,7,2,4,3,1,6,8,NA,NA,NA,NA,NA
5-May-08,18,5,7,3,4,2,1,6,8,NA,NA,NA,NA,NA
6-May-08,19,5,8,3,4,2,1,7,6,NA,NA,NA,NA,NA
7-May-08,20,6,8,3,4,1,2,5,7,NA,NA,NA,NA,NA
